Title,Price (TL),Date,Location,Room,Size (m²),Building Age,Floor,Link,Page,Price per m² (TL)
"55 Square Meters Apartment For Rent in Gölbaşı, Ankara",22000,22-03-2025,Ankara / Gölbaşı / Bahçelievler Mah.,1+1,55,4.0,3.,https://www.hepsiemlak.com/en/ankara-golbasi-bahcelievler-kiralik/daire/151968-28,4,400.0
"220 Square Meters Apartment For Rent in Keçiören, Ankara",41000,22-03-2025,Ankara / Keçiören / Atapark Mah.,4+1,220,4.0,8.,https://www.hepsiemlak.com/en/ankara-kecioren-atapark-kiralik/daire/155284-8,4,186.36363636363637
"280 Square Meters Apartment For Rent in Altındağ, Ankara",35000,22-03-2025,Ankara / Altındağ / Aydınlıkevler Mah.,5+1,280,12.0,4.,https://www.hepsiemlak.com/en/ankara-altindag-aydinlikevler-kiralik/daire/57666-1810,4,125.0
"115 Square Meters Apartment For Rent in Keçiören, Ankara",22500,22-03-2025,Ankara / Keçiören / Emrah Mah.,3+1,115,20.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-kecioren-emrah-kiralik/daire/139443-506,4,195.65217391304347
"117 Square Meters Apartment For Rent in Etimesgut, Ankara",14000,22-03-2025,Ankara / Etimesgut / Yapracık Mah.,3+1,117,15.0,Underground 1,https://www.hepsiemlak.com/en/ankara-etimesgut-yapracik-kiralik/daire/145771-184,4,119.65811965811966
"120 Square Meters Apartment For Rent in Mamak, Ankara",26000,22-03-2025,Ankara / Mamak / Mehtap Mah.,3+1,120,8.0,2.,https://www.hepsiemlak.com/en/ankara-mamak-mehtap-kiralik/daire/102030-128,4,216.66666666666666
"120 Square Meters Apartment For Rent in Çankaya, Ankara",32000,22-03-2025,Ankara / Çankaya / Ayrancı Mah.,3+1,120,31.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-ayranci-kiralik/daire/117930-38,4,266.6666666666667
"75 Square Meters Apartment For Rent in Çubuk, Ankara",14000,22-03-2025,Ankara / Çubuk / Esenboğa Merkez Mah.,2+1,75,2.0,2.,https://www.hepsiemlak.com/en/ankara-cubuk-esenboga-merkez-kiralik/daire/145552-62,4,186.66666666666666
"55 Square Meters Apartment For Rent in Sincan, Ankara",8500,22-03-2025,Ankara / Sincan / Hürriyet Mah.,1+1,55,10.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-sincan-hurriyet-kiralik/daire/138315-71,5,154.54545454545453
"125 Square Meters Apartment For Rent in Pursaklar, Ankara",16000,22-03-2025,Ankara / Pursaklar / Fatih Mah.,3+1,125,16.0,2.,https://www.hepsiemlak.com/en/ankara-pursaklar-fatih-kiralik/daire/102746-1231,5,128.0
"170 Square Meters Apartment For Rent in Çankaya, Ankara",27000,22-03-2025,Ankara / Çankaya / Birlik Mah.,3+1,170,19.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-birlik-kiralik/daire/6412-2621,5,158.8235294117647
"85 Square Meters Apartment For Rent in Çankaya, Ankara",22000,22-03-2025,Ankara / Çankaya / Metin Oktay Mah.,2+1,85,25.0,Underground 2,https://www.hepsiemlak.com/en/ankara-cankaya-metin-oktay-kiralik/daire/56007-3088,5,258.8235294117647
"80 Square Meters Apartment For Rent in Çankaya, Ankara",25000,22-03-2025,Ankara / Çankaya / Seyranbağları Mah.,2+1,80,45.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-seyranbaglari-kiralik/daire/72190-1658,5,312.5
"100 Square Meters Apartment For Rent in Gölbaşı, Ankara",20500,22-03-2025,Ankara / Gölbaşı / Bahçelievler Mah.,2+1,100,20.0,3.,https://www.hepsiemlak.com/en/ankara-golbasi-bahcelievler-kiralik/daire/151968-13,5,205.0
"110 Square Meters Apartment For Rent in Keçiören, Ankara",22500,22-03-2025,Ankara / Keçiören / Aşağı Eğlence Mah.,3+1,110,35.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-kecioren-asagi-eglence-kiralik/daire/9434-3216,5,204.54545454545453
"105 Square Meters Apartment For Rent in Keçiören, Ankara",13000,22-03-2025,Ankara / Keçiören / Bademlik Mah.,3+1,105,10.0,3.,https://www.hepsiemlak.com/en/ankara-kecioren-bademlik-kiralik/daire/109296-543,5,123.80952380952381
"105 Square Meters Apartment For Rent in Çankaya, Ankara",28000,22-03-2025,Ankara / Çankaya / Balgat Mah.,3+1,105,30.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-balgat-kiralik/daire/6948-7188,5,266.6666666666667
"140 Square Meters Apartment For Rent in Yenimahalle, Ankara",17000,22-03-2025,Ankara / Yenimahalle / Demetlale Mah.,3+1,140,26.0,4.,https://www.hepsiemlak.com/en/ankara-yenimahalle-demetlale-kiralik/daire/117930-43,5,121.42857142857143
"110 Square Meters Apartment For Rent in Çankaya, Ankara",22000,22-03-2025,Ankara / Çankaya / Tınaztepe Mah.,3+1,110,45.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-tinaztepe-kiralik/daire/72190-1660,5,200.0
